,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,,,,,,,,,,,,,,,,
Lonnie,Lonnie Walker,Walker,24.519999694824200,5,4800,MIL@BKN,BKN,MIL,GTD,Knee,,,,SG/SF,,,,,,,,,,,,,,,,
Goga,Goga Bitadze,Bitadze,14.824999809265100,4,4800,DAL@ORL,ORL,DAL,,,,,,C,,,,,,,,,,,,,,,,
Delon,Delon Wright,Wright,19,5,4800,WAS@PHI,WAS,PHI,,,,,,PG,,,,,,,,,,,,,,,,
Mason,Mason Plumlee,Plumlee,16.139999389648400,5,4700,LAC@NY,LAC,NY,,,,,,C,,,,,,,,,,,,,,,,
Malaki,Malaki Branham,Branham,14.316666920979800,6,4700,SA@IND,SA,IND,,,,,,SG/SF,,,,,,,,,,,,,,,,
Aaron,Aaron Nesmith,Nesmith,21.366666158040400,6,4700,SA@IND,IND,SA,,,,,,SF/PF,,,,,,,,,,,,,,,,
Anthony,Anthony Black,Black,13.725000381469700,4,4700,DAL@ORL,ORL,DAL,,,,,,PG,,,,,,,,,,,,,,,,
Andrew,Andrew Nembhard,Nembhard,17,6,4600,SA@IND,IND,SA,,,,,,PG/SG,,,,,,,,,,,,,,,,
Jaden,Jaden Ivey,Ivey,20.25,6,4600,GS@DET,DET,GS,GTD,Illness,,,,SG,,,,,,,,,,,,,,,,
Dario,Dario Saric,Saric,20.457142421177500,7,4600,GS@DET,GS,DET,,,,,,PF/C,,,,,,,,,,,,,,,,
T.J.,T.J. McConnell,McConnell,17.875,4,4600,SA@IND,IND,SA,,,,,,PG,,,,,,,,,,,,,,,,
Kelly,Kelly Olynyk,Olynyk,20.542857578822500,7,4500,UTA@CHI,UTA,CHI,,,,,,PF/C,,,,,,,,,,,,,,,,
Day'Ron,Day'Ron Sharpe,Sharpe,16.016666412353500,6,4500,MIL@BKN,BKN,MIL,,,,,,C,,,,,,,,,,,,,,,,
Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,20.714285714285700,7,4500,NO@DEN,DEN,NO,,,,,,SG,,,,,,,,,,,,,,,,
Malik,Malik Beasley,Beasley,19.73999938964840,5,4500,MIL@BKN,MIL,BKN,,,,,,SG/SF,,,,,,,,,,,,,,,,
Christian,Christian Braun,Braun,22.24285670689170,7,4500,NO@DEN,DEN,NO,,,,,,SG,,,,,,,,,,,,,,,,
Terance,Terance Mann,Mann,17.754651446675100,86,4500,LAC@NY,LAC,NY,O,Ankle,,,,PG/SG,,,,,,,,,,,,,,,,
Jalen,Jalen Smith,Smith,21.8,5,4500,SA@IND,IND,SA,,,,,,C,,,,,,,,,,,,,,,,
Josh,Josh Green,Green,18.566666920979800,6,4500,DAL@ORL,DAL,ORL,,,,,,SG,,,,,,,,,,,,,,,,
Bilal,Bilal Coulibaly,Coulibaly,16.23999938964840,5,4400,WAS@PHI,WAS,PHI,,,,,,SF,,,,,,,,,,,,,,,,
Taurean,Taurean Prince,Prince,16.299999237060500,4,4400,LAL@MIA,LAL,MIA,,,,,,SF/PF,,,,,,,,,,,,,,,,
Andre,Andre Drummond,Drummond,16.157142639160200,7,4400,UTA@CHI,CHI,UTA,,,,,,C,,,,,,,,,,,,,,,,
Jonathan,Jonathan Kuminga,Kuminga,19.633333841959600,6,4400,GS@DET,GS,DET,,,,,,SF,,,,,,,,,,,,,,,,
Alex,Alex Caruso,Caruso,19.928571428571400,7,4400,UTA@CHI,CHI,UTA,GTD,Elbow,,,,PG/SG,,,,,,,,,,,,,,,,
Dyson,Dyson Daniels,Daniels,20.733333587646500,6,4400,NO@DEN,NO,DEN,,,,,,PG,,,,,,,,,,,,,,,,
Isaiah,Isaiah Hartenstein,Hartenstein,16.383333841959600,6,4400,LAC@NY,NY,LAC,,,,,,PF/C,,,,,,,,,,,,,,,,
Corey,Corey Kispert,Kispert,13.875,4,4300,WAS@PHI,WAS,PHI,GTD,Ankle,,,,SF,,,,,,,,,,,,,,,,
Derrick,Derrick Jones,Jones,13.233333587646500,6,4300,DAL@ORL,DAL,ORL,,,,,,SF,,,,,,,,,,,,,,,,
Caleb,Caleb Martin,Martin,10.100000381469700,1,4300,LAL@MIA,MIA,LAL,O,Knee,,,,SF/PF,,,,,,,,,,,,,,,,
Jose,Jose Alvarado,Alvarado,18.822950019211100,61,4300,NO@DEN,NO,DEN,O,Ankle,,,,PG,,,,,,,,,,,,,,,,
Donte,Donte DiVincenzo,DiVincenzo,15.566666920979800,6,4300,LAC@NY,NY,LAC,,,,,,SG/SF,,,,,,,,,,,,,,,,
Thomas,Thomas Bryant,Bryant,15.449999491373700,6,4300,LAL@MIA,MIA,LAL,,,,,,C,,,,,,,,,,,,,,,,
Josh,Josh Richardson,Richardson,15.59999974568690,3,4300,LAL@MIA,MIA,LAL,,,,,,SG/SF,,,,,,,,,,,,,,,,
Obi,Obi Toppin,Toppin,16.28333282470700,6,4300,SA@IND,IND,SA,,,,,,PF,,,,,,,,,,,,,,,,
Jordan,Jordan Hawkins,Hawkins,17.616666158040400,6,4200,NO@DEN,NO,DEN,,,,,,SG,,,,,,,,,,,,,,,,
Robert,Robert Covington,Covington,13.38000030517580,5,4200,WAS@PHI,PHI,WAS,,,,,,SF/PF,,,,,,,,,,,,,,,,
Isaiah,Isaiah Jackson,Jackson,15.949999809265100,2,4200,SA@IND,IND,SA,,,,,,PF,,,,,,,,,,,,,,,,
Sam,Sam Hauser,Hauser,13.5,5,4200,BOS@MIN,BOS,MIN,,,,,,SF,,,,,,,,,,,,,,,,
Reggie,Reggie Jackson,Jackson,19.17142813546320,7,4200,NO@DEN,DEN,NO,,,,,,PG,,,,,,,,,,,,,,,,
Collin,Collin Sexton,Sexton,16.75714329310830,7,4200,UTA@CHI,UTA,CHI,,,,,,SG,,,,,,,,,,,,,,,,
Patrick,Patrick Williams,Williams,16.042857578822500,7,4200,UTA@CHI,CHI,UTA,GTD,Finger,,,,SF/PF,,,,,,,,,,,,,,,,
